"photo","age_mean","age_sd","age_N","anxious.easily.upset_mean","anxious.easily.upset_sd","anxious.easily.upset_N","Asian_mean","Asian_sd","Asian_N","attractiveness_mean","attractiveness_sd","attractiveness_N","Black_mean","Black_sd","Black_N","calm.emotionally.stable_mean","calm.emotionally.stable_sd","calm.emotionally.stable_N","Poor_mean","Poor_sd","Poor_N","Working.class_mean","Working.class_sd","Working.class_N","Middle.class_mean","Middle.class_sd","Middle.class_N","Upper.Middle.class_mean","Upper.Middle.class_sd","Upper.Middle.class_N","Upper.class_mean","Upper.class_sd","Upper.class_N","competence_mean","competence_sd","competence_N","conventional.uncreative_mean","conventional.uncreative_sd","conventional.uncreative_N","critical.quarrelsome_mean","critical.quarrelsome_sd","critical.quarrelsome_N","dependable.self.disciplined_mean","dependable.self.disciplined_sd","dependable.self.disciplined_N","disorganized.careless_mean","disorganized.careless_sd","disorganized.careless_N","dominant_mean","dominant_sd","dominant_N","education_mean","education_sd","education_N","extraverted.enthusiastic_mean","extraverted.enthusiastic_sd","extraverted.enthusiastic_N","hard.working_mean","hard.working_sd","hard.working_N","honest.moral_mean","honest.moral_sd","honest.moral_N","income_mean","income_sd","income_N","Latino_mean","Latino_sd","Latino_N","liberal_mean","liberal_sd","liberal_N","Native.American_mean","Native.American_sd","Native.American_N","Not.sure_mean","Not.sure_sd","Not.sure_N","occupational.prestige_mean","occupational.prestige_sd","occupational.prestige_N","open.to.new.experience.complex_mean","open.to.new.experience.complex_sd","open.to.new.experience.complex_N","Other_mean","Other_sd","Other_N","reserved.quiet_mean","reserved.quiet_sd","reserved.quiet_N","ses.ladder_mean","ses.ladder_sd","ses.ladder_N","submissive_mean","submissive_sd","submissive_N","sympathetic_mean","sympathetic_sd","sympathetic_N","thermometer_mean","thermometer_sd","thermometer_N","warmth_mean","warmth_sd","warmth_N","White_mean","White_sd","White_N"
"AF213.WF1",47.0833333333333,8.97783098946301,24,49,9.33225101949734,12,1,0,13,49.0833333333333,22.1419319734108,12,0,0,13,60.5,11.6969304442739,12,0,0,12,0.0833333333333333,0.288675134594813,12,0.416666666666667,0.514928650544437,12,0.333333333333333,0.492365963917331,12,0.166666666666667,0.389249472080761,12,59.75,18.7816399709929,12,57.25,13.3765398433907,12,63.0833333333333,20.9478067124128,12,61.9166666666667,13.561029280682,12,37.6666666666667,13.7466249301309,12,52.25,13.4510898510797,12,16.6666666666667,1.23091490979333,12,45.75,16.4489568610955,12,63.75,18.0913088123954,12,64.9166666666667,14.8229449492905,12,88043.4782608696,50039.5100812344,23,0,0,13,48.1481481481481,11.923185999748,12,0,0,13,0,0,13,58.0869565217391,17.8705268871764,23,47,14.7586646353314,12,0,0,13,56.8333333333333,17.9485797530477,12,64.1062801932367,16.54987626338,23,45.0833333333333,18.2630194323907,12,57.5,13.0209621205752,12,NA,NA,NA,52.4166666666667,16.9783730526559,12,0,0,13
"AF213.WF108",47.1111111111111,10.4636121624982,27,31.3,18.4032002047953,10,0.9,0.316227766016838,10,43.1,19.191722752849,10,0,0,10,56.2,18.2074465840521,10,0,0,10,0,0,10,0.4,0.516397779494322,10,0.5,0.52704627669473,10,0.1,0.316227766016838,10,69.3,14.9744226377291,10,45.5,20.1783712590156,10,59.6,17.802621529801,10,63.2,20.584784024452,10,36.8,26.6283057415726,10,65.5,17.6525100512961,10,16.8,2.34757558155453,10,56.4,21.5416908446028,10,61.7,15.5352645437548,10,60.6,13.2430275155562,10,79074.0740740741,32963.7632349477,27,0,0,10,35.8024691358024,12.1434046746333,9,0.1,0.316227766016838,10,0,0,10,64.8518518518518,16.9040361673311,27,56.4,24.9586324411682,10,0,0,10,46.2,18.8077998004374,10,64.6913580246914,17.3351229991419,27,31.6,21.6702561129305,10,49.3,22.6669117633808,10,NA,NA,NA,41.8,19.4981480602076,10,0.1,0.316227766016838,10
"AF215_old.WF21",50.5357142857143,6.78496236435504,28,41.6,16.4059609762902,10,1,0,11,37.1,24.5603564939744,10,0,0,11,61.7,15.9237767714405,10,0,0,10,0,0,10,0.7,0.483045891539648,10,0.3,0.483045891539648,10,0,0,10,73.1,15.3800014448778,10,59.4,11.4134423670804,10,54.1,11.9763656145482,10,73.3,15.9377260332555,10,30.6,16.6946431860975,10,63.1,13.8760384996743,10,15.9,5.15213008807468,10,42.3,12.193349735728,10,72.4,14.0649288026005,10,70.4,13.3599733865337,10,71666.6666666667,24019.2230707631,27,0,0,11,46.6666666666666,11.475506210985,10,0,0,11,0,0,11,55.7407407407407,18.8181430306634,27,40.7,9.87758405009376,10,0,0,11,56.6,8.23542483556387,10,57.3662551440329,14.8309503772648,27,39.6,13.3599733865337,10,53.8,16.2261791216814,10,NA,NA,NA,48.2,18.5520289396545,10,0,0,11
"AF215_old.WF6",47.7741935483871,9.62188365972538,31,49.7,15.4420062024193,10,1,0,10,40.9,24.3650478258417,10,0,0,10,54.6,17.5258539180137,10,0,0,9,0.111111111111111,0.333333333333333,9,0.111111111111111,0.333333333333333,9,0.555555555555556,0.52704627669473,9,0.222222222222222,0.440958551844098,9,69.5,12.1678081656293,10,59.3,17.2501207725241,10,58.7,18.0557777764103,10,63.5,18.5427434144285,10,38.5,16.2497863233815,10,65.2,13.8788408097442,10,17,3.65148371670111,10,42.7,19.3451113548962,10,70.8,12.5945314411542,10,51.7,18.0434660380612,10,64000,24403.2219466879,30,0,0,10,37.7777777777778,20.4208129660596,10,0,0,10,0,0,10,61.9354838709677,19.6314976230733,31,38.6,16.8338283755591,10,0,0,10,54.4,15.3781952416039,10,65.6272401433692,14.8127836122482,31,34.2,9.6355822057852,10,41.3,17.782950636307,10,NA,NA,NA,35.4,17.5638517668787,10,0,0,10
"AF216.WF14",29.2692307692308,5.64664638388268,26,45.5,21.6191787283627,10,1,0,10,57.5,20.8126564058187,10,0,0,10,64.5,12.1312269233852,10,0,0,10,0.1,0.316227766016838,10,0.6,0.516397779494322,10,0.3,0.483045891539648,10,0,0,10,75.1,15.7723386555915,10,50.8,22.8852208495643,10,41.8,18.3472674320244,10,77.7,14.8627050027914,10,20.3,14.7350677712124,10,54.5,20.6033977780365,10,18.4,2.59058123036339,10,42.5,13.6727628679958,10,79.1,15.4592654705484,10,64.6,17.5131696477568,10,68200,27946.3772249642,25,0,0,10,50,14.1032835293776,10,0,0,10,0,0,10,62.1153846153846,17.7027160019629,26,52.5,23.7123971326768,10,0,0,10,58.2,17.3192250275685,10,61.3777777777778,12.8911236887576,25,40.8,24.2156973882645,10,52.7,22.8718652982703,10,NA,NA,NA,52.4,19.4433650494055,10,0,0,10
"AF216.WF41",29.5357142857143,5.38504199135691,28,41.4666666666667,16.8390136573488,15,0,0,16,44.6,21.6425506814701,15,0,0,16,64.2,10.5234432170681,15,0,0,16,0.3125,0.478713553878169,16,0.6875,0.478713553878169,16,0,0,16,0,0,16,62.8666666666667,18.6695575992679,15,50.2666666666667,21.6282443203546,15,46.1333333333333,25.4582758552854,15,63.4666666666667,21.3235840818385,15,37,25.1821932552122,15,45.8,20.5641852327223,15,15.8823529411765,2.97662461819542,17,48.3333333333333,18.0857744676649,15,67.6666666666667,18.5151160895503,15,68.2,11.8695288148146,15,57857.1428571429,22584.3509991523,28,0,0,16,53.4722222222222,19.9665357896739,16,0,0,16,0,0,16,51.2962962962963,18.548926601361,27,48.2666666666667,18.9678926710627,15,0,0,16,63.0666666666667,11.7805327715241,15,51.6460905349794,15.3198577301123,27,53.3333333333333,18.8704858998182,15,57.6666666666667,20.0237953683207,15,NA,NA,NA,57.7333333333333,17.5924767470427,15,0,0,16
"AF216.WF9",27.9642857142857,5.46695217992312,28,47.3333333333333,18.2860863057395,15,1,0,15,37.2857142857143,19.4715910275164,14,0,0,15,54.0666666666667,21.0389661161877,15,0,0,15,0.266666666666667,0.457737708217063,15,0.666666666666667,0.487950036474267,15,0.0666666666666667,0.258198889747161,15,0,0,15,54.8,20.407281613609,15,39.2,17.4118186462939,15,57.2666666666667,18.3321211720484,15,59.9333333333333,18.7900682986163,15,44,20.4485416874372,15,58.1428571428571,19.949386506307,14,15.8,4.24600652714659,15,59.8666666666667,24.8534753725759,15,66.9333333333333,19.9444466551708,15,66.8,16.3103823201227,15,50714.25,27274.8736054715,28,0,0,15,61.1111111111111,18.8712839024099,14,0,0,15,0.0666666666666667,0.258198889747161,15,46.6071428571429,17.4935740280576,28,56.2,20.9768579970541,15,0.0666666666666667,0.258198889747161,15,44.2,23.9021816099344,15,48.7301587301587,13.479019873333,28,37.5714285714286,12.327045224061,14,57.2,23.5347766992958,15,NA,NA,NA,59,23.6522424186074,15,0.0666666666666667,0.258198889747161,15
"AF221.BF11",32.8235294117647,7.34628575802103,34,48.0625,18.8377944568891,16,0.6875,0.478713553878169,16,42.5625,19.7246672975744,16,0,0,16,50.5625,16.7330760272382,16,0.0625,0.25,16,0.5625,0.51234753829798,16,0.3125,0.478713553878169,16,0.0625,0.25,16,0,0,16,62.125,18.6864478522092,16,45.5625,19.1449514668141,16,43.0625,19.6077153182108,16,61.25,20.4922749672488,16,38.9375,17.2025918589806,16,50.375,21.3693706037403,16,15.5625,2.42126000256065,16,61.3125,19.3105109547452,16,71.4375,12.505831972857,16,64.125,17.0367250374008,16,54411.7352941177,27846.0780757459,34,0.4375,0.51234753829798,16,54.1666666666667,13.3795495319915,16,0.0625,0.25,16,0,0,16,48.3235294117647,19.1037368837448,34,55.25,21.1990565827822,16,0,0,16,35.75,17.4947611205945,16,45.2941176470588,13.9880201630899,34,45.4666666666667,17.622496444953,15,68.375,13.3610129356522,16,NA,NA,NA,65.875,16.061859585158,16,0.0625,0.25,16
"AF221.WF62",32.027027027027,6.22935027148135,37,44.1052631578947,18.8440817023457,19,0.947368421052632,0.229415733870562,19,30.9473684210526,24.3663558671709,19,0,0,19,59.3157894736842,18.2362661613822,19,0,0,19,0.578947368421053,0.507257273501788,19,0.368421052631579,0.495594627783352,19,0.0526315789473684,0.229415733870562,19,0,0,19,59.8947368421053,16.1516931924321,19,57.2105263157895,17.4660907900245,19,35.4210526315789,23.5332289645317,19,61.3157894736842,12.3875054953635,19,37,15.1143787316728,19,37,18.2330591082365,19,15.3684210526316,3.26956548787942,19,56,18.7823794493077,19,70.8421052631579,11.4127762612041,19,66.1578947368421,14.6449200820806,19,50945.9459459459,24546.9458905289,37,0.0526315789473684,0.229415733870562,19,56.7251461988304,18.4794910388501,19,0.0526315789473684,0.229415733870562,19,0,0,19,39.25,21.861087412504,36,48.6315789473684,21.3521024890233,19,0.0526315789473684,0.229415733870562,19,46.3684210526316,23.0969226577332,19,43.968253968254,14.467768284025,35,55.6315789473684,19.7180417280886,19,61.4210526315789,18.0040606206047,19,NA,NA,NA,65.1578947368421,19.5000374868436,19,0.0526315789473684,0.229415733870562,19
"AF221.WF9",28.5625,5.48862460002504,32,44.2,20.1428233704546,10,0.545454545454545,0.522232967867094,11,40.2,25.7198583027028,10,0.0909090909090909,0.301511344577764,11,69.5,13.2350544640612,10,0,0,10,0.3,0.483045891539648,10,0.7,0.483045891539648,10,0,0,10,0,0,10,69.5,17.0961334160031,10,36.8,19.1647825160863,10,37.6,15.3709683060849,10,68.1,17.4129581378671,10,32.3,20.0002777758488,10,49.3,15.8748578296346,10,16.3,1.33749350984926,10,61.2,18.0357669337594,10,75.3,14.2676790918028,10,71.7,11.3141995347047,10,48225.7741935484,19388.5755084615,31,0.454545454545455,0.522232967867094,11,67.7777777777778,11.0492102890195,10,0,0,11,0.181818181818182,0.404519917477945,11,48.2903225806452,24.3518562583185,31,60.8,18.5879291775903,10,0,0,11,41.6,25.2243268823306,10,51.6666666666667,19.0822869149321,30,48.1,16.0862259920302,10,72.8,10.8094608766786,10,NA,NA,NA,72.6,10.5955965696447,10,0.0909090909090909,0.301511344577764,11
